date,Babylon   11-15,Babylon   16-20,Babylon   21-25,Babylon   26-30,Babylon   31+,Babylon   6-10,Babylon   Canceled,Babylon   Partially Canceled
2010-07,30.0,3.0,2.0,3.0,1.0,84.0,4.0,4.0
2010-08,110.0,40.0,25.0,6.0,16.0,293.0,60.0,2.0
2010-09,33.0,18.0,9.0,2.0,17.0,167.0,48.0,11.0
2010-10,44.0,20.0,10.0,3.0,4.0,195.0,8.0,8.0
2010-11,46.0,16.0,8.0,2.0,11.0,148.0,16.0,3.0
2010-12,50.0,27.0,14.0,6.0,13.0,176.0,27.0,6.0
2011-01,99.0,33.0,31.0,13.0,12.0,199.0,53.0,6.0
2011-02,32.0,9.0,3.0,3.0,9.0,100.0,14.0,4.0
2011-03,25.0,18.0,8.0,2.0,14.0,101.0,19.0,7.0
2011-04,30.0,10.0,3.0,,3.0,74.0,5.0,10.0
2011-05,34.0,11.0,6.0,5.0,6.0,137.0,8.0,10.0
2011-06,44.0,10.0,10.0,2.0,21.0,99.0,11.0,4.0
2011-07,59.0,23.0,16.0,4.0,3.0,157.0,7.0,2.0
2011-08,63.0,17.0,18.0,13.0,48.0,164.0,94.0,9.0
2011-09,65.0,15.0,10.0,7.0,5.0,177.0,49.0,17.0
2011-10,38.0,8.0,4.0,1.0,1.0,131.0,7.0,7.0
2011-11,28.0,5.0,1.0,1.0,7.0,122.0,5.0,1.0
2011-12,35.0,14.0,10.0,4.0,2.0,94.0,12.0,1.0
2012-01,32.0,13.0,9.0,,4.0,118.0,6.0,6.0
2012-02,19.0,11.0,1.0,2.0,17.0,71.0,17.0,11.0
2012-03,34.0,12.0,3.0,6.0,5.0,91.0,2.0,2.0
2012-04,32.0,10.0,7.0,2.0,9.0,99.0,14.0,3.0
2012-05,45.0,6.0,4.0,7.0,10.0,119.0,10.0,7.0
2012-06,48.0,25.0,4.0,8.0,15.0,155.0,22.0,5.0
2012-07,51.0,18.0,8.0,1.0,6.0,170.0,3.0,4.0
2012-08,61.0,13.0,6.0,4.0,4.0,172.0,8.0,5.0
2012-09,38.0,15.0,9.0,5.0,,110.0,5.0,4.0
2012-10,26.0,5.0,3.0,4.0,11.0,112.0,24.0,6.0
2012-11,69.0,35.0,20.0,4.0,13.0,191.0,33.0,18.0
2012-12,47.0,17.0,2.0,4.0,6.0,179.0,9.0,3.0
2013-01,45.0,44.0,6.0,4.0,4.0,151.0,16.0,4.0
2013-02,45.0,16.0,10.0,4.0,7.0,113.0,25.0,7.0
2013-03,57.0,23.0,9.0,4.0,1.0,197.0,45.0,23.0
2013-04,18.0,5.0,4.0,1.0,1.0,113.0,3.0,
2013-05,35.0,18.0,6.0,3.0,9.0,164.0,13.0,5.0
2013-06,34.0,12.0,3.0,,1.0,133.0,36.0,15.0
2013-07,50.0,12.0,5.0,5.0,,197.0,15.0,11.0
2013-08,55.0,21.0,17.0,15.0,31.0,185.0,20.0,14.0
2013-09,54.0,20.0,9.0,5.0,2.0,141.0,9.0,7.0
2013-10,42.0,19.0,8.0,6.0,3.0,158.0,8.0,2.0
2013-11,63.0,10.0,7.0,1.0,,258.0,5.0,10.0
2013-12,47.0,18.0,9.0,1.0,13.0,194.0,9.0,4.0
2014-01,103.0,42.0,17.0,10.0,15.0,314.0,47.0,32.0
2014-02,56.0,16.0,7.0,5.0,5.0,203.0,12.0,2.0
2014-03,55.0,15.0,7.0,3.0,4.0,202.0,9.0,2.0
2014-04,46.0,20.0,5.0,1.0,1.0,165.0,18.0,9.0
2014-05,68.0,30.0,10.0,7.0,12.0,215.0,20.0,4.0
2014-06,44.0,22.0,8.0,3.0,11.0,176.0,30.0,3.0
2014-07,46.0,21.0,15.0,5.0,17.0,166.0,16.0,2.0
2014-08,57.0,21.0,9.0,2.0,5.0,174.0,19.0,1.0
2014-09,47.0,24.0,8.0,5.0,18.0,158.0,17.0,8.0
2014-10,54.0,18.0,5.0,3.0,2.0,203.0,16.0,6.0
2014-11,57.0,18.0,9.0,8.0,12.0,197.0,4.0,12.0
2014-12,80.0,18.0,12.0,6.0,11.0,249.0,9.0,9.0
2015-01,57.0,41.0,26.0,14.0,12.0,174.0,42.0,12.0
2015-02,88.0,45.0,37.0,16.0,35.0,206.0,42.0,9.0
2015-03,74.0,21.0,13.0,7.0,13.0,225.0,14.0,8.0
2015-04,32.0,10.0,6.0,1.0,4.0,159.0,25.0,11.0
2015-05,47.0,14.0,4.0,3.0,3.0,189.0,18.0,6.0
2015-06,35.0,23.0,7.0,8.0,5.0,182.0,15.0,9.0
2015-07,48.0,22.0,7.0,3.0,9.0,219.0,18.0,1.0
2015-08,68.0,19.0,10.0,4.0,6.0,194.0,10.0,4.0
2015-09,5.0,7.0,2.0,1.0,13.0,24.0,21.0,10.0
