date,Far Rockaway   11-15,Far Rockaway   16-20,Far Rockaway   21-25,Far Rockaway   26-30,Far Rockaway   31+,Far Rockaway   6-10,Far Rockaway   Canceled,Far Rockaway   Partially Canceled
2010-07,1.0,,,,1.0,9.0,,
2010-08,29.0,10.0,3.0,1.0,7.0,64.0,21.0,
2010-09,8.0,7.0,5.0,2.0,6.0,22.0,7.0,3.0
2010-10,14.0,8.0,3.0,3.0,1.0,31.0,2.0,23.0
2010-11,9.0,,3.0,3.0,1.0,12.0,,
2010-12,5.0,1.0,3.0,1.0,1.0,42.0,11.0,8.0
2011-01,17.0,1.0,,2.0,2.0,48.0,21.0,1.0
2011-02,11.0,1.0,2.0,3.0,,21.0,3.0,
2011-03,7.0,1.0,1.0,,2.0,22.0,,2.0
2011-04,10.0,1.0,,,2.0,19.0,,1.0
2011-05,7.0,10.0,2.0,,1.0,18.0,4.0,6.0
2011-06,16.0,6.0,3.0,,3.0,37.0,1.0,7.0
2011-07,4.0,3.0,1.0,,3.0,31.0,3.0,2.0
2011-08,14.0,4.0,5.0,3.0,7.0,28.0,12.0,45.0
2011-09,11.0,5.0,7.0,2.0,5.0,39.0,21.0,5.0
2011-10,7.0,1.0,1.0,,,32.0,1.0,
2011-11,1.0,5.0,3.0,1.0,,25.0,,
2011-12,3.0,1.0,5.0,1.0,2.0,21.0,1.0,
2012-01,4.0,1.0,,,,20.0,1.0,1.0
2012-02,6.0,1.0,1.0,,,16.0,,1.0
2012-03,9.0,2.0,2.0,1.0,,32.0,1.0,2.0
2012-04,3.0,2.0,1.0,2.0,5.0,21.0,2.0,
2012-05,4.0,2.0,1.0,,2.0,18.0,4.0,2.0
2012-06,21.0,9.0,5.0,2.0,,22.0,5.0,4.0
2012-07,9.0,,1.0,4.0,,38.0,,1.0
2012-08,9.0,3.0,1.0,,1.0,48.0,2.0,6.0
2012-09,3.0,,1.0,,,15.0,,
2012-10,3.0,2.0,,1.0,,22.0,1.0,
2012-11,18.0,11.0,4.0,1.0,6.0,56.0,11.0,4.0
2012-12,10.0,4.0,2.0,,5.0,50.0,6.0,9.0
2013-01,10.0,8.0,1.0,2.0,3.0,34.0,3.0,3.0
2013-02,8.0,2.0,1.0,,,31.0,1.0,7.0
2013-03,9.0,3.0,6.0,4.0,5.0,33.0,10.0,11.0
2013-04,8.0,1.0,1.0,2.0,1.0,30.0,1.0,3.0
2013-05,12.0,2.0,1.0,1.0,1.0,50.0,1.0,4.0
2013-06,9.0,1.0,2.0,,,22.0,3.0,5.0
2013-07,10.0,5.0,1.0,,1.0,41.0,4.0,2.0
2013-08,12.0,4.0,1.0,5.0,13.0,27.0,6.0,3.0
2013-09,7.0,1.0,3.0,,1.0,31.0,,2.0
2013-10,4.0,3.0,,,1.0,22.0,,1.0
2013-11,11.0,4.0,3.0,,,45.0,3.0,
2013-12,15.0,6.0,1.0,,,42.0,4.0,1.0
2014-01,23.0,5.0,5.0,1.0,2.0,76.0,1.0,
2014-02,16.0,3.0,1.0,3.0,,51.0,6.0,5.0
2014-03,6.0,4.0,1.0,1.0,3.0,40.0,1.0,3.0
2014-04,19.0,4.0,1.0,,,39.0,3.0,2.0
2014-05,8.0,4.0,1.0,2.0,4.0,54.0,1.0,2.0
2014-06,9.0,3.0,,1.0,2.0,53.0,1.0,1.0
2014-07,14.0,3.0,1.0,2.0,,26.0,1.0,3.0
2014-08,15.0,9.0,2.0,2.0,2.0,43.0,4.0,2.0
2014-09,13.0,6.0,6.0,2.0,4.0,49.0,3.0,3.0
2014-10,15.0,1.0,3.0,,1.0,42.0,3.0,6.0
2014-11,10.0,3.0,,1.0,2.0,45.0,,3.0
2014-12,14.0,9.0,3.0,2.0,4.0,61.0,4.0,4.0
2015-01,22.0,8.0,3.0,2.0,,46.0,17.0,3.0
2015-02,19.0,5.0,5.0,7.0,7.0,64.0,3.0,5.0
2015-03,12.0,3.0,1.0,3.0,4.0,62.0,,4.0
2015-04,4.0,2.0,1.0,1.0,,24.0,3.0,
2015-05,5.0,1.0,4.0,,2.0,42.0,10.0,11.0
2015-06,17.0,3.0,8.0,,2.0,56.0,,2.0
2015-07,14.0,4.0,1.0,1.0,6.0,49.0,3.0,1.0
2015-08,11.0,4.0,6.0,,,40.0,1.0,
2015-09,1.0,1.0,1.0,,4.0,4.0,3.0,4.0
