date,Hunt. Hicks.   11-15,Hunt. Hicks.   16-20,Hunt. Hicks.   21-25,Hunt. Hicks.   26-30,Hunt. Hicks.   31+,Hunt. Hicks.   6-10,Hunt. Hicks.   Canceled,Hunt. Hicks.   Partially Canceled
2010-07,15.0,7.0,5.0,3.0,,56.0,1.0,1.0
2010-08,50.0,24.0,11.0,11.0,26.0,139.0,36.0,2.0
2010-09,30.0,13.0,11.0,1.0,16.0,99.0,23.0,9.0
2010-10,27.0,9.0,6.0,3.0,5.0,105.0,9.0,1.0
2010-11,22.0,9.0,7.0,2.0,1.0,80.0,1.0,2.0
2010-12,40.0,11.0,5.0,1.0,4.0,105.0,15.0,4.0
2011-01,40.0,10.0,8.0,3.0,15.0,111.0,62.0,45.0
2011-02,20.0,7.0,6.0,3.0,7.0,73.0,9.0,1.0
2011-03,25.0,9.0,5.0,3.0,4.0,68.0,3.0,3.0
2011-04,14.0,12.0,7.0,2.0,3.0,64.0,1.0,5.0
2011-05,27.0,13.0,7.0,3.0,3.0,105.0,6.0,2.0
2011-06,25.0,7.0,7.0,8.0,12.0,87.0,6.0,9.0
2011-07,23.0,15.0,6.0,2.0,5.0,71.0,2.0,1.0
2011-08,33.0,12.0,11.0,4.0,12.0,99.0,24.0,14.0
2011-09,34.0,16.0,10.0,5.0,16.0,133.0,33.0,12.0
2011-10,27.0,5.0,5.0,2.0,12.0,92.0,6.0,3.0
2011-11,32.0,16.0,4.0,4.0,4.0,110.0,3.0,
2011-12,20.0,12.0,6.0,1.0,2.0,79.0,5.0,
2012-01,12.0,5.0,2.0,1.0,8.0,53.0,6.0,1.0
2012-02,16.0,9.0,,1.0,,50.0,3.0,1.0
2012-03,11.0,11.0,3.0,2.0,3.0,74.0,1.0,2.0
2012-04,24.0,10.0,4.0,1.0,7.0,71.0,5.0,14.0
2012-05,13.0,7.0,5.0,3.0,9.0,51.0,7.0,5.0
2012-06,31.0,10.0,5.0,6.0,8.0,98.0,10.0,3.0
2012-07,29.0,7.0,4.0,5.0,5.0,110.0,1.0,
2012-08,16.0,10.0,8.0,6.0,4.0,101.0,2.0,1.0
2012-09,18.0,4.0,4.0,1.0,,78.0,4.0,3.0
2012-10,23.0,7.0,4.0,1.0,,83.0,1.0,1.0
2012-11,52.0,39.0,16.0,7.0,21.0,127.0,29.0,10.0
2012-12,42.0,17.0,2.0,5.0,7.0,137.0,7.0,1.0
2013-01,39.0,19.0,6.0,5.0,9.0,95.0,13.0,13.0
2013-02,23.0,9.0,8.0,4.0,4.0,70.0,19.0,6.0
2013-03,41.0,12.0,7.0,5.0,10.0,104.0,15.0,3.0
2013-04,28.0,6.0,8.0,6.0,9.0,97.0,6.0,4.0
2013-05,34.0,3.0,7.0,2.0,5.0,82.0,5.0,3.0
2013-06,15.0,6.0,12.0,4.0,6.0,100.0,32.0,5.0
2013-07,29.0,10.0,6.0,1.0,6.0,103.0,10.0,6.0
2013-08,37.0,18.0,10.0,3.0,22.0,83.0,3.0,5.0
2013-09,31.0,15.0,8.0,1.0,8.0,91.0,8.0,3.0
2013-10,19.0,10.0,6.0,3.0,7.0,90.0,9.0,1.0
2013-11,35.0,21.0,2.0,4.0,7.0,118.0,3.0,1.0
2013-12,32.0,14.0,3.0,1.0,5.0,108.0,4.0,7.0
2014-01,52.0,26.0,13.0,11.0,11.0,172.0,17.0,12.0
2014-02,58.0,17.0,13.0,7.0,23.0,142.0,39.0,29.0
2014-03,48.0,14.0,6.0,4.0,2.0,159.0,7.0,5.0
2014-04,34.0,11.0,8.0,3.0,7.0,142.0,4.0,2.0
2014-05,43.0,17.0,4.0,8.0,4.0,179.0,8.0,3.0
2014-06,33.0,12.0,8.0,7.0,20.0,146.0,21.0,3.0
2014-07,30.0,8.0,3.0,3.0,6.0,117.0,2.0,4.0
2014-08,36.0,12.0,8.0,6.0,7.0,115.0,2.0,6.0
2014-09,31.0,6.0,2.0,4.0,6.0,132.0,6.0,1.0
2014-10,47.0,19.0,6.0,3.0,9.0,145.0,14.0,
2014-11,30.0,14.0,3.0,3.0,7.0,129.0,4.0,3.0
2014-12,50.0,15.0,6.0,5.0,7.0,155.0,6.0,4.0
2015-01,41.0,26.0,4.0,7.0,5.0,128.0,38.0,30.0
2015-02,70.0,40.0,18.0,12.0,13.0,167.0,26.0,5.0
2015-03,67.0,23.0,8.0,4.0,9.0,153.0,18.0,19.0
2015-04,38.0,21.0,5.0,2.0,11.0,110.0,10.0,5.0
2015-05,43.0,14.0,4.0,1.0,2.0,131.0,4.0,1.0
2015-06,50.0,12.0,2.0,4.0,5.0,133.0,2.0,1.0
2015-07,53.0,16.0,2.0,7.0,13.0,153.0,13.0,5.0
2015-08,48.0,27.0,13.0,3.0,15.0,145.0,6.0,2.0
2015-09,7.0,2.0,,,8.0,23.0,4.0,6.0
