date,Long Beach   11-15,Long Beach   16-20,Long Beach   21-25,Long Beach   26-30,Long Beach   31+,Long Beach   6-10,Long Beach   Canceled,Long Beach   Partially Canceled
2010-07,5.0,1.0,,,,20.0,1.0,
2010-08,30.0,17.0,8.0,2.0,12.0,81.0,16.0,1.0
2010-09,9.0,6.0,1.0,2.0,2.0,35.0,13.0,5.0
2010-10,15.0,9.0,1.0,,2.0,29.0,2.0,2.0
2010-11,3.0,1.0,3.0,,1.0,25.0,,
2010-12,13.0,10.0,2.0,2.0,3.0,34.0,8.0,5.0
2011-01,26.0,12.0,6.0,3.0,12.0,45.0,9.0,1.0
2011-02,9.0,4.0,,2.0,2.0,22.0,2.0,1.0
2011-03,17.0,3.0,2.0,2.0,2.0,31.0,1.0,
2011-04,7.0,1.0,,2.0,,20.0,1.0,2.0
2011-05,4.0,2.0,3.0,1.0,,52.0,3.0,1.0
2011-06,9.0,6.0,4.0,5.0,10.0,40.0,6.0,7.0
2011-07,19.0,11.0,4.0,,3.0,51.0,,2.0
2011-08,19.0,4.0,1.0,2.0,7.0,47.0,6.0,33.0
2011-09,19.0,4.0,2.0,,2.0,57.0,17.0,7.0
2011-10,6.0,3.0,,,,40.0,4.0,4.0
2011-11,4.0,1.0,,,4.0,32.0,,1.0
2011-12,4.0,1.0,,,2.0,23.0,1.0,1.0
2012-01,6.0,6.0,3.0,1.0,1.0,30.0,2.0,
2012-02,9.0,2.0,1.0,1.0,1.0,18.0,,
2012-03,12.0,4.0,3.0,1.0,,30.0,2.0,1.0
2012-04,6.0,3.0,5.0,2.0,5.0,29.0,4.0,
2012-05,7.0,1.0,4.0,1.0,7.0,27.0,2.0,2.0
2012-06,12.0,8.0,1.0,3.0,2.0,52.0,4.0,3.0
2012-07,14.0,6.0,3.0,,8.0,40.0,,
2012-08,9.0,2.0,1.0,2.0,2.0,50.0,2.0,2.0
2012-09,12.0,3.0,4.0,,,26.0,3.0,23.0
2012-10,1.0,4.0,2.0,3.0,6.0,30.0,6.0,2.0
2012-11,8.0,3.0,1.0,,2.0,12.0,4.0,1.0
2012-12,12.0,9.0,5.0,1.0,3.0,46.0,3.0,1.0
2013-01,17.0,5.0,4.0,4.0,3.0,45.0,1.0,
2013-02,6.0,2.0,2.0,1.0,1.0,32.0,3.0,3.0
2013-03,19.0,7.0,5.0,1.0,5.0,73.0,12.0,2.0
2013-04,7.0,7.0,2.0,3.0,1.0,40.0,1.0,2.0
2013-05,14.0,3.0,,1.0,1.0,41.0,4.0,4.0
2013-06,8.0,3.0,1.0,2.0,,40.0,10.0,3.0
2013-07,15.0,8.0,3.0,,2.0,77.0,3.0,5.0
2013-08,22.0,7.0,9.0,7.0,12.0,58.0,1.0,2.0
2013-09,7.0,5.0,5.0,4.0,2.0,46.0,2.0,8.0
2013-10,8.0,5.0,1.0,,1.0,43.0,1.0,1.0
2013-11,23.0,5.0,1.0,1.0,,67.0,1.0,
2013-12,11.0,2.0,,,3.0,35.0,,2.0
2014-01,27.0,17.0,5.0,2.0,2.0,87.0,10.0,9.0
2014-02,16.0,13.0,5.0,1.0,2.0,67.0,3.0,
2014-03,7.0,5.0,5.0,4.0,4.0,65.0,3.0,2.0
2014-04,22.0,3.0,6.0,1.0,2.0,53.0,2.0,2.0
2014-05,24.0,9.0,9.0,4.0,8.0,90.0,2.0,2.0
2014-06,16.0,6.0,6.0,2.0,5.0,66.0,2.0,3.0
2014-07,23.0,10.0,1.0,2.0,,63.0,4.0,1.0
2014-08,21.0,6.0,1.0,2.0,2.0,73.0,,1.0
2014-09,21.0,10.0,2.0,1.0,1.0,45.0,2.0,1.0
2014-10,11.0,1.0,3.0,,3.0,74.0,2.0,
2014-11,6.0,3.0,6.0,1.0,4.0,68.0,,1.0
2014-12,21.0,5.0,1.0,2.0,2.0,99.0,1.0,3.0
2015-01,31.0,16.0,4.0,8.0,1.0,71.0,10.0,23.0
2015-02,30.0,12.0,9.0,2.0,9.0,86.0,5.0,3.0
2015-03,23.0,8.0,1.0,2.0,9.0,69.0,1.0,2.0
2015-04,13.0,4.0,4.0,1.0,1.0,59.0,9.0,3.0
2015-05,12.0,4.0,2.0,,2.0,59.0,5.0,2.0
2015-06,16.0,4.0,1.0,1.0,,72.0,2.0,2.0
2015-07,19.0,8.0,2.0,,6.0,103.0,2.0,
2015-08,18.0,8.0,6.0,2.0,5.0,86.0,5.0,1.0
2015-09,3.0,3.0,,,3.0,11.0,5.0,7.0
