,Customer Injury Rate,Employee Lost Time and Restricted Duty Rate,Elevator Availability,Escalator Availability,Babylon Branch - OTP,Far Rockaway Branch OTP,Greenport/Ronkonkoma Branch - OTP,Hempstead Branch - OTP,Hicksville/Huntington Branch - OTP,Long Beach Branch - OTP,Montauk Branch - OTP,Oyster Bay Branch - OTP,Port Jefferson Branch - OTP,Port Washington Branch - OTP,West Hempstead Branch - OTP,On-Time Performance,Mean Distance Between Failures,Total Ridership
2008-1,5.09,2.24,97.48,98.30,97.00,98.50,94.30,97.70,94.80,98.10,96.50,95.70,93.80,97.10,98.20,96.60,130248.00,7078442.00
2008-2,6.05,.79,98.45,97.46,95.40,97.40,93.20,97.10,94.30,96.10,94.20,93.40,91.40,96.40,96.60,95.20,90624.00,6616912.00
2008-3,5.32,1.76,98.18,97.28,95.00,97.00,92.60,95.60,93.30,94.90,93.00,92.60,90.80,95.10,97.20,94.40,120413.00,7149326.00
2008-4,7.02,1.24,97.61,99.65,97.20,97.80,93.60,96.40,95.20,96.90,96.40,94.00,94.10,95.50,97.40,96.00,126927.00,7259848.00
2008-5,5.20,2.18,98.39,96.77,95.80,97.80,94.70,96.80,95.60,97.40,95.30,95.80,92.60,95.70,98.40,96.00,156712.00,7306098.00
2008-6,7.08,2.61,96.96,97.54,95.90,97.70,92.40,97.90,95.40,95.80,92.30,94.40,88.90,95.90,98.10,95.20,139529.00,7629775.00
2008-7,6.05,2.38,97.62,97.62,94.20,98.40,91.90,97.80,95.50,95.30,90.20,94.70,88.80,93.30,96.70,94.20,131423.00,7929227.00
2008-8,7.28,2.46,97.76,98.30,95.30,98.80,93.30,98.20,96.60,96.70,93.10,94.40,91.70,94.90,98.30,95.50,158385.00,7555198.00
2008-9,6.70,2.30,98.19,97.37,95.00,97.50,93.40,97.60,94.70,96.90,94.10,92.80,93.90,94.40,97.70,95.20,132893.00,7317370.00
2008-10,5.68,2.32,97.55,98.47,95.00,98.20,91.70,96.90,93.10,97.10,94.40,91.80,92.60,96.60,96.90,95.00,177564.00,7576507.00
2008-11,7.77,1.59,97.68,99.50,91.80,95.20,89.20,94.20,92.10,93.70,89.90,88.40,86.70,97.20,96.40,92.60,128050.00,6565079.00
2008-12,6.37,2.40,97.62,96.10,95.40,98.50,93.40,96.60,93.60,97.70,94.50,95.80,88.70,97.40,98.30,95.50,129592.00,7374694.00
2009-1,7.38,2.33,96.25,97.11,95.80,99.20,90.30,96.30,96.30,97.60,95.60,95.30,94.00,98.50,97.90,96.10,130887.00,6635505.00
2009-2,6.08,3.37,98.10,98.68,95.10,97.50,93.20,97.10,94.50,97.60,95.20,93.70,93.10,96.70,98.20,95.60,108487.00,6086638.00
2009-3,4.28,2.58,97.04,98.81,92.90,96.10,92.70,95.60,93.80,95.10,91.60,94.60,90.40,95.80,95.40,94.00,120846.00,7007440.00
2009-4,5.82,2.55,97.40,92.28,96.00,98.50,95.80,98.30,96.60,97.30,94.40,96.90,95.10,96.90,98.60,96.70,150354.00,7042760.00
2009-5,5.00,1.64,97.10,89.98,96.70,98.70,94.20,97.60,95.70,97.90,93.30,96.50,95.50,98.20,98.10,96.60,160553.00,6794737.00
2009-6,6.02,1.98,97.55,88.25,95.00,98.50,93.00,97.80,93.70,96.60,94.70,95.20,94.00,95.20,98.30,95.40,130246.00,7478422.00
2009-7,7.14,2.10,97.56,89.47,94.40,98.00,92.30,97.60,93.40,95.60,89.50,95.40,92.60,94.90,97.80,94.60,141309.00,7286295.00
2009-8,5.73,3.72,97.37,92.87,95.70,98.00,95.10,97.80,94.90,96.30,90.50,96.30,96.30,95.70,98.00,95.80,169521.00,7154348.00
2009-9,6.92,2.43,98.03,94.40,95.60,98.30,94.60,98.10,95.10,94.90,93.50,95.10,94.90,94.90,97.70,95.60,157224.00,6932125.00
2009-10,5.29,1.76,97.20,92.90,95.00,98.10,91.90,97.40,93.80,97.40,91.40,93.60,93.60,96.30,97.80,95.20,184696.00,6997677.00
2009-11,5.05,1.30,97.40,96.50,94.50,98.60,92.70,98.00,95.10,96.70,89.80,95.10,92.60,97.10,97.30,95.30,198999.00,6532672.00
2009-12,6.85,2.08,95.70,96.40,91.40,96.30,86.80,95.70,90.20,93.80,87.90,90.90,89.00,93.60,97.10,91.90,141863.00,7002228.00
2010-1,4.96,3.88,96.70,95.40,96.10,99.00,95.00,98.50,96.40,98.10,96.40,97.30,94.20,97.20,98.70,96.90,159257.00,6247660.00
2010-2,5.85,2.28,96.80,97.70,93.40,97.60,90.90,96.40,92.80,96.10,92.70,91.40,88.60,93.80,97.80,93.80,156249.00,5811552.00
2010-3,5.57,2.02,95.40,94.60,91.70,93.30,88.50,96.20,88.70,94.80,90.00,93.30,90.50,95.20,97.40,92.40,192163.00,7007149.00
2010-4,5.34,2.47,98.20,96.70,90.60,96.50,89.40,95.10,89.80,92.90,82.40,94.10,90.20,91.90,96.10,91.50,130898.00,6931286.00
2010-5,5.19,2.02,97.60,98.80,92.30,97.90,90.90,96.20,93.30,96.60,90.90,96.00,91.10,91.70,96.20,93.50,165077.00,6743764.00
2010-6,6.32,2.30,97.10,93.00,91.60,97.40,90.60,96.80,90.20,95.50,89.80,93.40,90.80,87.30,97.80,92.20,159091.00,7279744.00
2010-7,6.49,2.94,97.20,96.80,90.70,96.30,89.90,95.50,91.00,95.70,87.10,94.70,87.60,90.30,95.80,91.90,134085.00,7238718.00
2010-8,4.50,4.98,97.40,97.50,84.10,90.70,87.90,90.50,85.10,89.40,83.00,85.60,83.70,94.30,77.60,87.30,137413.00,7108665.00
2010-9,6.00,2.82,98.00,96.70,92.00,96.40,90.70,96.00,91.00,95.60,87.40,92.00,90.60,90.60,96.40,92.40,139823.00,6834199.00
2010-10,4.85,2.55,97.40,95.10,92.30,95.00,91.80,95.20,92.70,96.50,91.40,92.70,92.30,94.80,98.30,93.60,159700.00,6804525.00
2010-11,3.96,2.67,98.20,94.40,93.40,98.30,92.30,96.60,94.30,98.00,88.50,93.80,90.40,94.20,97.90,94.30,132759.00,6563349.00
2010-12,5.58,2.90,96.90,90.20,91.40,95.60,83.80,96.00,91.50,95.20,93.00,92.00,90.30,94.30,95.40,92.20,149482.00,6985089.00
