date,Port Jefferson   11-15,Port Jefferson   16-20,Port Jefferson   21-25,Port Jefferson   26-30,Port Jefferson   31+,Port Jefferson   6-10,Port Jefferson   Canceled,Port Jefferson   Partially Canceled
2010-07,9.0,9.0,4.0,1.0,9.0,31.0,,1.0
2010-08,41.0,18.0,10.0,9.0,7.0,69.0,8.0,4.0
2010-09,16.0,7.0,7.0,5.0,8.0,45.0,11.0,2.0
2010-10,8.0,4.0,1.0,,3.0,60.0,5.0,2.0
2010-11,20.0,9.0,5.0,2.0,4.0,58.0,2.0,2.0
2010-12,18.0,11.0,11.0,1.0,8.0,48.0,3.0,1.0
2011-01,27.0,20.0,9.0,9.0,20.0,85.0,27.0,2.0
2011-02,22.0,3.0,3.0,3.0,6.0,35.0,9.0,17.0
2011-03,9.0,6.0,8.0,4.0,5.0,37.0,,2.0
2011-04,8.0,15.0,1.0,1.0,4.0,50.0,4.0,2.0
2011-05,22.0,10.0,6.0,3.0,4.0,46.0,1.0,
2011-06,23.0,7.0,5.0,2.0,6.0,40.0,1.0,1.0
2011-07,18.0,9.0,9.0,2.0,5.0,31.0,1.0,1.0
2011-08,14.0,10.0,2.0,8.0,12.0,41.0,6.0,
2011-09,23.0,10.0,5.0,3.0,16.0,50.0,10.0,5.0
2011-10,11.0,11.0,2.0,5.0,10.0,44.0,4.0,1.0
2011-11,30.0,14.0,7.0,2.0,7.0,50.0,3.0,
2011-12,21.0,9.0,5.0,5.0,3.0,64.0,,
2012-01,14.0,3.0,5.0,3.0,7.0,39.0,2.0,3.0
2012-02,11.0,7.0,3.0,4.0,,49.0,1.0,
2012-03,11.0,6.0,2.0,3.0,3.0,41.0,1.0,
2012-04,12.0,3.0,2.0,2.0,,42.0,,1.0
2012-05,11.0,10.0,3.0,3.0,4.0,45.0,,1.0
2012-06,26.0,13.0,6.0,4.0,16.0,56.0,4.0,2.0
2012-07,23.0,8.0,6.0,4.0,7.0,62.0,,1.0
2012-08,21.0,12.0,6.0,5.0,3.0,71.0,1.0,
2012-09,22.0,5.0,4.0,,1.0,78.0,1.0,1.0
2012-10,14.0,12.0,2.0,3.0,3.0,41.0,2.0,4.0
2012-11,28.0,14.0,11.0,5.0,18.0,77.0,4.0,
2012-12,27.0,12.0,6.0,,6.0,91.0,1.0,
2013-01,30.0,14.0,5.0,5.0,9.0,48.0,5.0,1.0
2013-02,14.0,9.0,6.0,1.0,6.0,32.0,31.0,3.0
2013-03,16.0,11.0,5.0,3.0,5.0,58.0,5.0,10.0
2013-04,16.0,6.0,6.0,2.0,15.0,34.0,2.0,2.0
2013-05,14.0,6.0,5.0,2.0,1.0,55.0,,4.0
2013-06,19.0,13.0,4.0,5.0,6.0,38.0,3.0,2.0
2013-07,11.0,2.0,3.0,1.0,2.0,44.0,3.0,1.0
2013-08,18.0,6.0,2.0,3.0,7.0,48.0,7.0,
2013-09,11.0,10.0,,2.0,7.0,40.0,,
2013-10,12.0,3.0,2.0,4.0,4.0,30.0,1.0,2.0
2013-11,18.0,12.0,2.0,4.0,7.0,65.0,1.0,2.0
2013-12,24.0,6.0,9.0,1.0,3.0,59.0,6.0,1.0
2014-01,41.0,27.0,12.0,6.0,9.0,85.0,1.0,4.0
2014-02,41.0,13.0,13.0,6.0,15.0,93.0,14.0,13.0
2014-03,19.0,12.0,7.0,1.0,7.0,82.0,2.0,3.0
2014-04,26.0,12.0,2.0,4.0,11.0,65.0,5.0,7.0
2014-05,31.0,14.0,7.0,3.0,5.0,68.0,,1.0
2014-06,15.0,9.0,2.0,2.0,4.0,45.0,,4.0
2014-07,24.0,7.0,1.0,5.0,7.0,56.0,2.0,3.0
2014-08,20.0,10.0,4.0,6.0,3.0,46.0,11.0,3.0
2014-09,15.0,6.0,4.0,4.0,5.0,47.0,3.0,5.0
2014-10,33.0,7.0,4.0,2.0,14.0,76.0,2.0,
2014-11,13.0,12.0,4.0,,11.0,78.0,2.0,1.0
2014-12,22.0,13.0,6.0,5.0,6.0,74.0,5.0,2.0
2015-01,34.0,11.0,7.0,2.0,8.0,50.0,28.0,8.0
2015-02,41.0,29.0,16.0,5.0,25.0,95.0,7.0,6.0
2015-03,39.0,19.0,2.0,4.0,11.0,81.0,2.0,4.0
2015-04,15.0,10.0,2.0,2.0,4.0,49.0,2.0,
2015-05,10.0,4.0,3.0,2.0,3.0,52.0,,1.0
2015-06,26.0,9.0,9.0,2.0,4.0,43.0,5.0,4.0
2015-07,28.0,13.0,3.0,2.0,5.0,42.0,2.0,4.0
2015-08,18.0,7.0,6.0,3.0,4.0,53.0,13.0,11.0
2015-09,4.0,3.0,2.0,1.0,7.0,9.0,1.0,3.0
