date,Port Washington   11-15,Port Washington   16-20,Port Washington   21-25,Port Washington   26-30,Port Washington   31+,Port Washington   6-10,Port Washington   Canceled,Port Washington   Partially Canceled
2010-07,7.0,8.0,5.0,2.0,11.0,70.0,17.0,3.0
2010-08,29.0,2.0,3.0,3.0,,111.0,15.0,
2010-09,28.0,9.0,3.0,,,129.0,69.0,3.0
2010-10,22.0,11.0,1.0,1.0,3.0,57.0,25.0,2.0
2010-11,21.0,7.0,1.0,,5.0,65.0,20.0,14.0
2010-12,16.0,7.0,3.0,5.0,2.0,71.0,24.0,
2011-01,14.0,9.0,7.0,1.0,10.0,80.0,38.0,3.0
2011-02,13.0,6.0,3.0,,4.0,46.0,8.0,
2011-03,11.0,2.0,,,,45.0,6.0,1.0
2011-04,12.0,4.0,4.0,1.0,4.0,44.0,7.0,5.0
2011-05,12.0,10.0,4.0,3.0,,62.0,5.0,
2011-06,20.0,8.0,7.0,4.0,9.0,46.0,42.0,2.0
2011-07,23.0,6.0,4.0,2.0,4.0,77.0,11.0,5.0
2011-08,36.0,20.0,12.0,4.0,7.0,107.0,39.0,5.0
2011-09,33.0,8.0,3.0,2.0,1.0,108.0,21.0,4.0
2011-10,8.0,4.0,2.0,1.0,,60.0,9.0,
2011-11,11.0,7.0,3.0,,4.0,65.0,4.0,3.0
2011-12,5.0,5.0,2.0,1.0,,26.0,3.0,
2012-01,15.0,3.0,3.0,3.0,3.0,45.0,7.0,2.0
2012-02,11.0,7.0,2.0,2.0,,44.0,4.0,
2012-03,5.0,5.0,1.0,,,43.0,2.0,
2012-04,13.0,2.0,4.0,,1.0,39.0,3.0,
2012-05,15.0,7.0,2.0,2.0,3.0,71.0,12.0,
2012-06,20.0,14.0,7.0,7.0,2.0,98.0,27.0,3.0
2012-07,17.0,2.0,,1.0,1.0,81.0,3.0,1.0
2012-08,18.0,10.0,3.0,3.0,,106.0,4.0,
2012-09,18.0,5.0,2.0,,2.0,77.0,4.0,1.0
2012-10,11.0,4.0,6.0,,,57.0,7.0,9.0
2012-11,36.0,11.0,13.0,6.0,2.0,96.0,27.0,10.0
2012-12,25.0,12.0,6.0,1.0,3.0,108.0,12.0,
2013-01,21.0,12.0,4.0,2.0,,101.0,18.0,4.0
2013-02,9.0,2.0,3.0,1.0,5.0,51.0,12.0,1.0
2013-03,16.0,10.0,7.0,2.0,2.0,62.0,11.0,6.0
2013-04,8.0,6.0,1.0,2.0,,84.0,7.0,
2013-05,35.0,10.0,6.0,2.0,3.0,101.0,30.0,4.0
2013-06,16.0,6.0,5.0,2.0,1.0,79.0,31.0,9.0
2013-07,38.0,7.0,3.0,2.0,3.0,106.0,20.0,8.0
2013-08,28.0,15.0,16.0,8.0,17.0,155.0,14.0,
2013-09,23.0,9.0,6.0,2.0,1.0,105.0,7.0,2.0
2013-10,15.0,8.0,1.0,1.0,,83.0,5.0,2.0
2013-11,23.0,2.0,2.0,1.0,,127.0,4.0,1.0
2013-12,18.0,6.0,6.0,1.0,3.0,122.0,9.0,
2014-01,53.0,9.0,5.0,3.0,5.0,141.0,40.0,21.0
2014-02,18.0,8.0,5.0,,4.0,99.0,10.0,1.0
2014-03,17.0,2.0,2.0,1.0,,107.0,4.0,
2014-04,15.0,6.0,3.0,7.0,7.0,97.0,25.0,5.0
2014-05,39.0,20.0,5.0,2.0,2.0,151.0,23.0,1.0
2014-06,17.0,4.0,2.0,,4.0,102.0,22.0,1.0
2014-07,22.0,4.0,5.0,2.0,1.0,118.0,9.0,5.0
2014-08,22.0,12.0,6.0,3.0,1.0,120.0,12.0,3.0
2014-09,46.0,7.0,8.0,2.0,2.0,172.0,14.0,2.0
2014-10,32.0,7.0,7.0,,1.0,143.0,10.0,
2014-11,35.0,5.0,5.0,4.0,2.0,124.0,7.0,
2014-12,56.0,30.0,8.0,8.0,4.0,211.0,12.0,2.0
2015-01,40.0,15.0,7.0,1.0,5.0,125.0,43.0,4.0
2015-02,45.0,29.0,25.0,6.0,11.0,166.0,58.0,2.0
2015-03,33.0,9.0,2.0,2.0,13.0,145.0,17.0,6.0
2015-04,20.0,3.0,1.0,1.0,3.0,132.0,22.0,3.0
2015-05,50.0,5.0,1.0,3.0,9.0,196.0,26.0,15.0
2015-06,26.0,9.0,5.0,2.0,1.0,142.0,11.0,4.0
2015-07,37.0,10.0,5.0,2.0,10.0,190.0,23.0,2.0
2015-08,33.0,15.0,6.0,6.0,6.0,185.0,13.0,1.0
2015-09,9.0,,2.0,,1.0,38.0,23.0,
