date,Ronk. (greenpt.)   11-15,Ronk. (greenpt.)   16-20,Ronk. (greenpt.)   21-25,Ronk. (greenpt.)   26-30,Ronk. (greenpt.)   31+,Ronk. (greenpt.)   6-10,Ronk. (greenpt.)   Canceled,Ronk. (greenpt.)   Partially Canceled
2010-07,8.0,12.0,1.0,1.0,6.0,48.0,18.0,11.0
2010-08,44.0,19.0,17.0,11.0,25.0,102.0,22.0,3.0
2010-09,35.0,11.0,8.0,7.0,14.0,90.0,22.0,7.0
2010-10,31.0,13.0,13.0,,5.0,105.0,5.0,2.0
2010-11,30.0,15.0,13.0,3.0,5.0,86.0,1.0,4.0
2010-12,61.0,32.0,19.0,12.0,29.0,138.0,18.0,15.0
2011-01,51.0,38.0,17.0,11.0,27.0,102.0,39.0,3.0
2011-02,20.0,12.0,4.0,8.0,9.0,68.0,1.0,2.0
2011-03,27.0,14.0,11.0,12.0,13.0,83.0,4.0,2.0
2011-04,17.0,9.0,4.0,3.0,6.0,77.0,,6.0
2011-05,34.0,14.0,7.0,5.0,9.0,84.0,8.0,16.0
2011-06,19.0,15.0,9.0,9.0,24.0,96.0,4.0,6.0
2011-07,27.0,14.0,12.0,8.0,29.0,74.0,2.0,1.0
2011-08,43.0,17.0,11.0,8.0,34.0,93.0,11.0,7.0
2011-09,40.0,30.0,16.0,10.0,28.0,115.0,26.0,7.0
2011-10,33.0,20.0,6.0,4.0,20.0,86.0,9.0,8.0
2011-11,22.0,16.0,8.0,,10.0,94.0,12.0,17.0
2011-12,21.0,14.0,9.0,5.0,6.0,63.0,2.0,5.0
2012-01,17.0,8.0,4.0,5.0,6.0,58.0,,2.0
2012-02,13.0,8.0,5.0,2.0,5.0,59.0,2.0,6.0
2012-03,24.0,13.0,6.0,3.0,14.0,66.0,8.0,2.0
2012-04,21.0,4.0,3.0,2.0,3.0,52.0,27.0,12.0
2012-05,25.0,11.0,13.0,2.0,23.0,74.0,4.0,4.0
2012-06,41.0,23.0,12.0,5.0,25.0,100.0,13.0,19.0
2012-07,45.0,19.0,25.0,10.0,40.0,101.0,7.0,16.0
2012-08,36.0,19.0,9.0,5.0,11.0,88.0,1.0,2.0
2012-09,22.0,9.0,3.0,2.0,2.0,97.0,6.0,
2012-10,20.0,9.0,2.0,2.0,3.0,82.0,5.0,
2012-11,56.0,29.0,27.0,5.0,37.0,125.0,12.0,12.0
2012-12,50.0,19.0,7.0,3.0,10.0,128.0,5.0,5.0
2013-01,48.0,26.0,13.0,2.0,18.0,100.0,20.0,29.0
2013-02,33.0,15.0,4.0,11.0,23.0,90.0,24.0,26.0
2013-03,36.0,20.0,10.0,4.0,28.0,121.0,13.0,1.0
2013-04,20.0,10.0,6.0,9.0,13.0,79.0,4.0,8.0
2013-05,23.0,10.0,8.0,10.0,7.0,88.0,8.0,10.0
2013-06,16.0,9.0,7.0,4.0,20.0,80.0,17.0,9.0
2013-07,21.0,11.0,8.0,3.0,8.0,87.0,4.0,9.0
2013-08,40.0,20.0,16.0,11.0,25.0,92.0,16.0,9.0
2013-09,31.0,17.0,10.0,5.0,13.0,80.0,7.0,4.0
2013-10,27.0,16.0,9.0,6.0,5.0,97.0,1.0,6.0
2013-11,57.0,13.0,9.0,5.0,14.0,137.0,6.0,
2013-12,50.0,20.0,15.0,6.0,9.0,137.0,3.0,2.0
2014-01,65.0,29.0,24.0,8.0,20.0,176.0,15.0,28.0
2014-02,50.0,39.0,10.0,10.0,31.0,115.0,21.0,5.0
2014-03,38.0,15.0,10.0,5.0,10.0,135.0,2.0,1.0
2014-04,35.0,8.0,2.0,2.0,16.0,101.0,8.0,2.0
2014-05,29.0,25.0,14.0,16.0,18.0,118.0,4.0,4.0
2014-06,33.0,11.0,10.0,10.0,15.0,135.0,2.0,2.0
2014-07,25.0,16.0,1.0,,3.0,113.0,2.0,
2014-08,31.0,15.0,7.0,4.0,5.0,106.0,3.0,7.0
2014-09,27.0,11.0,5.0,4.0,12.0,89.0,1.0,3.0
2014-10,43.0,17.0,10.0,7.0,8.0,109.0,22.0,12.0
2014-11,35.0,9.0,14.0,7.0,17.0,124.0,16.0,3.0
2014-12,42.0,16.0,7.0,4.0,14.0,140.0,5.0,4.0
2015-01,41.0,27.0,21.0,7.0,21.0,141.0,24.0,11.0
2015-02,65.0,30.0,18.0,28.0,35.0,115.0,30.0,8.0
2015-03,94.0,42.0,31.0,22.0,30.0,152.0,13.0,10.0
2015-04,48.0,19.0,13.0,9.0,9.0,105.0,11.0,3.0
2015-05,32.0,9.0,12.0,2.0,11.0,85.0,3.0,8.0
2015-06,26.0,14.0,11.0,6.0,9.0,102.0,8.0,6.0
2015-07,36.0,26.0,6.0,8.0,19.0,134.0,6.0,5.0
2015-08,52.0,26.0,17.0,5.0,11.0,133.0,8.0,28.0
2015-09,3.0,4.0,2.0,2.0,10.0,17.0,6.0,8.0
