,Danbury   6-15,Danbury   16-30,Danbury   31+,Danbury   Canceled,Danbury   Terminated,Harlem   6-15,Harlem   16-30,Harlem   31+,Harlem   Canceled,Harlem   Terminated,Hudson   6-15,Hudson   16-30,Hudson   31+,Hudson   Canceled,Hudson   Terminated,New Canaan   6-15,New Canaan   16-30,New Canaan   31+,New Canaan   Canceled,New Canaan   Terminated,New Haven   6-15,New Haven   16-30,New Haven   31+,New Haven   Canceled,New Haven   Terminated,Waterbury   6-15,Waterbury   16-30,Waterbury   31+,Waterbury   Canceled,Waterbury   Terminated
2014-06,4.0,1.0,,1.0,,32.0,4.0,,,,72.0,3.0,1.0,,1.0,9.0,,,,,58.0,8.0,1.0,,1.0,4.0,,,,
2014-07,43.0,11.0,2.0,,1.0,347.0,37.0,8.0,,4.0,300.0,27.0,8.0,2.0,23.0,57.0,3.0,,1.0,,359.0,40.0,4.0,1.0,9.0,20.0,10.0,,,2.0
2014-08,9.0,1.0,2.0,,1.0,157.0,34.0,2.0,,1.0,282.0,27.0,5.0,,4.0,30.0,,,,,200.0,25.0,7.0,,3.0,52.0,18.0,,,2.0
2014-09,25.0,5.0,5.0,3.0,2.0,121.0,20.0,3.0,1.0,7.0,182.0,14.0,2.0,,5.0,44.0,8.0,,,,256.0,34.0,10.0,2.0,4.0,26.0,5.0,2.0,,1.0
2014-10,40.0,9.0,5.0,,2.0,518.0,69.0,16.0,,3.0,342.0,42.0,15.0,1.0,3.0,137.0,9.0,1.0,,,696.0,73.0,20.0,1.0,7.0,22.0,10.0,2.0,,1.0
2014-11,45.0,9.0,3.0,1.0,2.0,577.0,64.0,13.0,5.0,5.0,504.0,40.0,2.0,,1.0,111.0,9.0,3.0,5.0,3.0,795.0,110.0,17.0,4.0,9.0,29.0,12.0,2.0,,1.0
2014-12,38.0,4.0,,,,282.0,23.0,5.0,1.0,4.0,269.0,13.0,8.0,1.0,7.0,108.0,7.0,1.0,1.0,,507.0,71.0,14.0,1.0,1.0,16.0,4.0,,1.0,1.0
2015-01,43.0,6.0,2.0,1.0,2.0,257.0,26.0,7.0,6.0,14.0,201.0,20.0,7.0,6.0,9.0,93.0,4.0,2.0,,1.0,453.0,75.0,12.0,9.0,4.0,13.0,1.0,1.0,,3.0
2015-02,78.0,25.0,14.0,2.0,2.0,484.0,137.0,50.0,76.0,67.0,264.0,59.0,10.0,3.0,11.0,116.0,19.0,8.0,5.0,1.0,625.0,171.0,38.0,10.0,8.0,30.0,12.0,2.0,,
2015-03,48.0,16.0,12.0,2.0,1.0,247.0,64.0,37.0,16.0,15.0,228.0,69.0,29.0,9.0,2.0,60.0,3.0,4.0,1.0,1.0,376.0,70.0,61.0,10.0,3.0,20.0,6.0,2.0,,
2015-04,32.0,3.0,1.0,1.0,,308.0,34.0,2.0,,5.0,290.0,19.0,4.0,1.0,4.0,82.0,2.0,,,,440.0,60.0,18.0,1.0,4.0,3.0,1.0,1.0,,
2015-05,48.0,7.0,1.0,1.0,3.0,317.0,62.0,20.0,4.0,9.0,271.0,17.0,9.0,1.0,2.0,71.0,9.0,3.0,,1.0,408.0,45.0,14.0,4.0,10.0,4.0,3.0,1.0,,
2015-06,38.0,6.0,1.0,,2.0,229.0,37.0,43.0,7.0,20.0,235.0,22.0,2.0,1.0,7.0,80.0,5.0,,1.0,1.0,341.0,41.0,16.0,5.0,3.0,8.0,6.0,3.0,1.0,1.0
2015-07,41.0,8.0,,1.0,1.0,251.0,27.0,5.0,,5.0,276.0,32.0,14.0,,4.0,61.0,4.0,,1.0,1.0,355.0,40.0,4.0,,7.0,6.0,3.0,2.0,,
2015-08,22.0,7.0,,,,138.0,18.0,13.0,1.0,3.0,206.0,42.0,6.0,1.0,4.0,51.0,4.0,,,,192.0,32.0,7.0,1.0,4.0,6.0,4.0,4.0,,
2015-09,23.0,5.0,2.0,,1.0,171.0,10.0,5.0,1.0,5.0,144.0,12.0,9.0,,3.0,73.0,7.0,,2.0,,190.0,25.0,10.0,3.0,3.0,7.0,5.0,2.0,1.0,
2015-10,34.0,6.0,6.0,,1.0,322.0,43.0,9.0,5.0,3.0,277.0,19.0,8.0,,2.0,74.0,3.0,,,,275.0,39.0,7.0,4.0,7.0,13.0,4.0,10.0,,1.0
2015-11,77.0,11.0,5.0,1.0,1.0,286.0,57.0,23.0,7.0,2.0,274.0,31.0,4.0,,3.0,99.0,4.0,,1.0,,404.0,41.0,12.0,2.0,6.0,25.0,17.0,5.0,,
2015-12,26.0,8.0,4.0,,3.0,154.0,14.0,2.0,,1.0,148.0,15.0,4.0,4.0,6.0,40.0,1.0,,,,242.0,21.0,2.0,,7.0,7.0,3.0,1.0,,1.0
2016-01,7.0,,,,,32.0,5.0,,,,17.0,2.0,,,3.0,11.0,1.0,,,,41.0,3.0,,1.0,,1.0,,,,
2014-05,,,,,,3.0,,,,,16.0,1.0,,,,4.0,,,,,15.0,,,,,,,,,
