,Customer Injury Rate,Employee Lost Time and Restricted Duty Rate,Elevator Availability,Escalator Availability,Harlem Line - OTP,Hudson Line - OTP,New Haven Line - OTP,Pascack Valley Line - OTP,Port Jervis Line - OTP,On-Time Performance (East of Hudson),On-Time Performance (West of Hudson),Mean Distance Between Failures,Total Ridership
2008-1,4.65,.19,,,99.00,99.30,98.40,97.50,96.00,98.80,96.90,170344.00,6618443.00
2008-2,3.91,.81,,,99.20,99.10,98.10,96.10,93.50,98.70,95.00,121615.00,6301485.00
2008-3,3.33,1.55,,,97.20,96.90,96.90,95.80,98.50,97.00,96.90,144223.00,6771486.00
2008-4,3.09,1.69,,,99.20,98.60,98.30,98.20,98.50,98.70,98.30,131432.00,6958640.00
2008-5,3.65,.90,,,98.60,97.40,98.30,96.00,95.50,98.20,95.80,127412.00,7022684.00
2008-6,2.43,1.13,,,97.80,95.90,95.70,95.80,92.30,96.40,94.40,95022.00,7194263.00
2008-7,3.43,1.89,,,98.00,97.00,96.70,97.70,93.60,97.20,96.00,69206.00,7489563.00
2008-8,3.22,1.36,,,98.20,97.70,96.90,98.60,93.10,97.50,96.40,92878.00,7005789.00
2008-9,1.96,1.23,,,97.70,98.20,97.90,95.50,91.10,97.90,93.70,107579.00,7007148.00
2008-10,1.78,2.11,,,97.80,96.80,95.70,97.20,95.20,96.70,96.40,99487.00,7509521.00
2008-11,2.67,1.03,,,98.10,97.00,95.80,97.90,95.40,96.80,96.90,119045.00,6510977.00
2008-12,2.43,.79,,,97.60,97.20,95.30,95.80,94.10,96.50,95.10,71307.00,7165229.00
2009-1,2.91,3.14,98.00,91.00,97.80,96.40,95.60,91.40,94.50,96.50,92.60,61868.00,6332765.00
2009-2,2.09,1.63,98.00,91.00,98.60,98.90,96.70,97.20,96.30,97.80,96.80,85652.00,5877056.00
2009-3,2.28,2.30,100.00,99.00,99.10,98.50,95.60,97.10,96.60,97.40,96.90,79372.00,6762519.00
2009-4,1.82,2.20,100.00,100.00,98.90,98.80,97.70,96.60,97.80,98.40,97.10,115640.00,6765029.00
2009-5,2.66,1.93,99.00,94.00,98.90,98.50,97.70,97.50,98.40,98.30,97.80,109447.00,6542782.00
2009-6,4.66,1.30,99.00,97.00,99.00,97.60,97.60,98.00,96.30,98.10,97.30,199874.00,7034778.00
2009-7,3.22,2.88,100.00,94.00,98.70,97.80,98.00,97.40,95.60,98.20,96.70,149383.00,7000919.00
2009-8,2.82,3.14,99.00,97.00,98.50,96.70,97.50,95.90,95.50,97.60,95.70,,6551798.00
2009-9,3.69,1.72,99.00,98.30,98.20,98.50,98.10,96.50,95.50,98.20,96.10,170649.00,6670065.00
2009-10,3.09,1.29,99.60,98.70,98.10,98.10,98.10,96.90,91.80,98.10,94.80,186500.00,6952772.00
2009-11,2.52,2.45,98.40,98.10,98.50,97.90,98.10,96.50,94.40,98.20,95.70,159929.00,6485758.00
2009-12,3.85,1.82,99.80,100.00,98.80,98.30,95.70,96.50,92.70,97.30,95.00,94916.00,6922906.00
2010-1,3.04,1.20,99.75,97.95,99.10,99.00,97.60,98.80,96.70,98.40,98.00,133979.00,6057658.00
2010-2,1.80,2.11,98.58,100.00,98.10,97.20,97.60,95.20,89.60,97.70,93.00,139626.00,5687951.00
2010-3,1.48,2.54,97.88,100.00,98.80,98.60,96.50,97.30,96.30,97.80,96.90,176730.00,6938210.00
2010-4,3.15,1.54,99.38,100.00,98.40,98.60,97.20,98.90,96.90,97.90,98.10,166295.00,6837262.00
2010-5,3.34,1.37,99.20,100.00,99.20,97.90,98.10,97.80,97.20,98.40,97.60,207245.00,6731056.00
2010-6,3.58,2.35,97.60,91.21,99.00,98.50,97.10,98.30,96.20,98.00,97.40,112101.00,7158125.00
2010-7,3.37,1.60,97.30,100.00,98.20,97.50,95.90,97.80,94.80,97.00,96.60,133718.00,6992466.00
2010-8,4.74,2.54,97.10,100.00,99.10,98.00,98.10,98.90,94.60,98.40,97.10,127910.00,6912973.00
2010-9,2.99,1.96,98.97,95.20,99.00,97.40,96.30,97.80,95.10,97.40,96.70,111026.00,6852629.00
2010-10,3.20,2.44,98.60,90.91,97.70,97.80,95.80,98.20,90.50,96.90,95.00,111898.00,7027596.00
2010-11,2.10,.80,99.64,96.67,97.60,98.10,95.10,97.60,93.90,96.60,96.10,100852.00,6810467.00
2010-12,3.61,1.80,98.47,90.03,98.10,97.10,96.40,97.20,91.00,97.10,94.60,102536.00,7089455.00
2011-1,3.55,3.89,99.37,100.00,96.60,97.40,88.90,94.90,88.00,93.50,92.10,56773.00,6058384.00
