date,New Haven   11-15,New Haven   16-20,New Haven   21-25,New Haven   26-30,New Haven   31+,New Haven   6-10,New Haven   Canceled,New Haven   Terminated
2014-01,71.0,31.0,19.0,14.0,19.0,120.0,31.0,1.0
2014-02,77.0,34.0,20.0,6.0,5.0,222.0,5.0,7.0
2014-03,74.0,33.0,10.0,7.0,19.0,257.0,17.0,33.0
2014-04,131.0,49.0,20.0,8.0,15.0,347.0,1.0,7.0
2014-05,125.0,53.0,21.0,12.0,46.0,379.0,22.0,24.0
2014-06,72.0,20.0,8.0,14.0,21.0,342.0,15.0,18.0
2014-07,82.0,31.0,15.0,10.0,8.0,346.0,1.0,14.0
2014-08,32.0,16.0,7.0,2.0,7.0,168.0,,3.0
2014-09,60.0,18.0,10.0,6.0,10.0,196.0,2.0,4.0
2014-10,125.0,34.0,25.0,14.0,20.0,571.0,1.0,7.0
2014-11,174.0,77.0,25.0,8.0,17.0,621.0,4.0,9.0
2014-12,121.0,47.0,14.0,10.0,14.0,386.0,1.0,1.0
2015-01,105.0,41.0,22.0,12.0,12.0,348.0,9.0,4.0
2015-02,167.0,92.0,52.0,27.0,38.0,458.0,10.0,8.0
2015-03,76.0,39.0,16.0,15.0,61.0,300.0,10.0,3.0
2015-04,94.0,36.0,15.0,9.0,18.0,346.0,1.0,4.0
2015-05,87.0,25.0,15.0,5.0,14.0,321.0,4.0,10.0
2015-06,55.0,22.0,14.0,5.0,16.0,286.0,5.0,3.0
2015-07,82.0,20.0,12.0,8.0,4.0,273.0,,7.0
2015-08,46.0,21.0,6.0,5.0,7.0,146.0,1.0,4.0
2015-09,25.0,17.0,6.0,2.0,10.0,165.0,3.0,3.0
2015-10,4.0,,,,,8.0,1.0,
