date,Waterbury   11-15,Waterbury   16-20,Waterbury   21-25,Waterbury   26-30,Waterbury   31+,Waterbury   6-10,Waterbury   Canceled,Waterbury   Terminated
2014-01,6.0,2.0,,,4.0,6.0,1.0,1.0
2014-02,9.0,14.0,4.0,2.0,7.0,17.0,,1.0
2014-03,4.0,3.0,5.0,1.0,3.0,15.0,,1.0
2014-04,10.0,8.0,1.0,1.0,1.0,22.0,1.0,2.0
2014-05,9.0,3.0,4.0,1.0,5.0,14.0,,5.0
2014-06,6.0,9.0,2.0,2.0,5.0,19.0,,3.0
2014-07,11.0,3.0,7.0,1.0,,12.0,,2.0
2014-08,16.0,11.0,6.0,1.0,,36.0,,2.0
2014-09,13.0,4.0,1.0,,2.0,13.0,,1.0
2014-10,6.0,7.0,3.0,,2.0,16.0,,1.0
2014-11,17.0,5.0,5.0,2.0,2.0,12.0,,1.0
2014-12,9.0,2.0,2.0,,,7.0,1.0,1.0
2015-01,5.0,1.0,,,1.0,8.0,,3.0
2015-02,10.0,6.0,6.0,,2.0,20.0,,
2015-03,8.0,4.0,1.0,1.0,2.0,12.0,,
2015-04,1.0,1.0,,,1.0,2.0,,
2015-05,,1.0,2.0,,1.0,4.0,,
2015-06,1.0,4.0,1.0,1.0,3.0,7.0,1.0,1.0
2015-07,4.0,3.0,,,2.0,2.0,,
2015-08,,2.0,2.0,,4.0,6.0,,
2015-09,1.0,5.0,,,2.0,6.0,1.0,
2015-10,1.0,1.0,,1.0,1.0,1.0,,
