,Collisions with Injury Rate - NYCT Bus,Customer Accident Injury Rate - NYCT Bus,Customer Injury Rate - Subways,Employee Lost Time and Restricted Duty Rate,Elevator Availability - Subways,Escalator Availability - Subways,Bus Passenger Wheelchair Lift Usage - NYCT Bus,% of Completed Trips - NYCT Bus,100th Street Depot - % of Completed Trips,126th Street Depot - % of Completed Trips,Casey Stengel Depot - % of Completed Trips,Castleton Depot - % of Completed Trips,Charleston Depot - % of Completed Trips,East New York Depot - % of Completed Trips,Flatbush Depot - % of Completed Trips,Fresh Pond Depot - % of Completed Trips,Grand Avenue Depot - % of Completed Trips,Gun Hill Depot - % of Completed Trips,Jackie Gleason Depot - % of Completed Trips,Jamaica Depot - % of Completed Trips,Kingsbridge Depot - % of Completed Trips,Manhattanville Depot - % of Completed Trips,Meredith Avenue Depot - % of Completed Trips,Michael J. Quill Depot - % of Completed Trips,Queens Village Depot - % of Completed Trips,Ulmer Park Depot - % of Completed Trips,West Farms Depot - % of Completed Trips,Yukon Depot - % of Completed Trips,Mean Distance Between Failures - NYCT Bus,Mean Distance Between Failures - Staten Island Railway,Mean Distance Between Failures - Subways,On-Time Performance - Staten Island Railway,On-Time Performance (Terminal),OTP (Terminal) - 1 Line,OTP (Terminal) - 2 Line,OTP (Terminal) - 3 Line,OTP (Terminal) - 4 Line,OTP (Terminal) - 5 Line,OTP (Terminal) - 6 Line,OTP (Terminal) - 7 Line,OTP (Terminal) - A Line,OTP (Terminal) - B Line,OTP (Terminal) - C Line,OTP (Terminal) - D Line,OTP (Terminal) - E Line,OTP (Terminal) - F Line,OTP (Terminal) - G Line,OTP (Terminal) - J Z Line,OTP (Terminal) - L Line,OTP (Terminal) - M Line,OTP (Terminal) - N Line,OTP (Terminal) - Q Line,OTP (Terminal) - R Line,OTP (Terminal) - S Fkln Line,OTP (Terminal) - S Line 42 St.,OTP (Terminal) - S Line Rock,Subway Wait Assessment,Subway Wait Assessment - 1 Line,Subway Wait Assessment - 2 Line,Subway Wait Assessment - 3 Line,Subway Wait Assessment - 4 Line,Subway Wait Assessment - 5 Line,Subway Wait Assessment - 6 Line,Subway Wait Assessment - 7 Line,Subway Wait Assessment - A Line,Subway Wait Assessment - B Line,Subway Wait Assessment - C Line,Subway Wait Assessment - D Line,Subway Wait Assessment - E Line,Subway Wait Assessment - F Line,Subway Wait Assessment - G Line,Subway Wait Assessment - J Z Line,Subway Wait Assessment - L Line,Subway Wait Assessment - M Line,Subway Wait Assessment - N Line,Subway Wait Assessment - Q Line,Subway Wait Assessment - R Line,Subway Wait Assessment - S 42 St,Subway Wait Assessment - S Fkln,Subway Wait Assessment - S Rock,"Wait Assessment - Subways (Inactive, Historic Calculations)",Total Paratransit Ridership - NYCT Bus,Total Ridership - NYCT Bus,Total Ridership - Subways
2008-1,,1.41,3.94,1.93,,,78259.00,99.37,99.16,99.50,99.51,99.18,,99.48,99.25,99.41,99.16,99.02,99.44,99.65,99.21,99.33,,99.58,99.50,99.59,99.38,99.13,4157.00,,148420.00,98.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.40,539952.00,60889506.00,130687792.00
2008-2,,1.09,3.65,2.33,,,69303.00,99.03,99.18,99.30,98.93,98.53,,99.48,99.30,98.93,98.87,98.64,99.10,99.49,98.66,99.33,,99.32,99.08,98.65,99.16,97.89,3912.00,186122.00,100513.00,98.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.90,513662.00,57631961.00,125878662.00
2008-3,,1.48,3.27,1.93,,,85971.00,99.31,99.04,99.35,99.48,99.10,,99.55,99.35,99.14,98.97,99.22,99.46,99.63,99.23,99.35,,99.45,99.53,99.37,99.04,99.00,4461.00,98097.00,144737.00,98.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.40,578303.00,64147814.00,137148128.00
2008-4,,1.41,3.29,1.81,,,93701.00,99.31,99.03,99.43,99.49,99.08,,99.63,99.49,99.32,99.07,99.37,99.56,99.67,99.11,99.28,,99.56,99.58,99.39,99.22,98.80,4183.00,195018.00,157804.00,97.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.80,590241.00,63701847.00,136528969.00
2008-5,,1.52,3.27,2.93,,,97707.00,99.20,99.04,99.40,99.49,98.31,,99.55,99.46,99.27,98.99,99.36,99.47,99.24,98.51,99.27,,99.56,99.13,99.33,99.07,98.49,4024.00,197335.00,133825.00,95.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.70,606000.00,65582363.00,140151863.00
2008-6,,1.57,3.12,2.70,,,98149.00,99.15,98.99,99.38,99.35,97.98,,99.62,99.42,99.32,99.19,99.24,99.53,99.50,98.66,99.16,,99.24,99.25,99.32,98.85,98.32,3203.00,193149.00,133694.00,95.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.40,611624.00,62609260.00,136670880.00
2008-7,,1.70,3.17,2.79,,,105998.00,99.38,99.15,99.35,99.58,99.14,,99.62,99.62,99.39,99.31,99.31,99.58,99.61,99.08,99.31,,99.43,99.29,99.58,99.29,98.95,3570.00,206478.00,124910.00,98.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.60,623065.00,61878187.00,137724560.00
2008-8,,1.37,3.05,2.70,,,114919.00,99.40,99.27,99.46,99.51,99.28,,99.64,99.55,99.45,99.37,99.13,99.66,99.59,99.16,99.38,,99.49,99.39,99.53,99.24,98.96,3940.00,103314.00,117993.00,96.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.70,620625.00,58465618.00,130906150.00
2008-9,,1.09,2.95,2.43,,,111037.00,99.38,99.08,99.33,99.55,99.11,,99.57,99.55,99.43,99.32,99.17,99.61,99.61,99.12,99.22,,99.47,99.34,99.54,99.44,99.09,3644.00,195025.00,127214.00,93.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.70,629666.00,64956000.00,138407478.00
2008-10,,1.63,2.71,2.48,,,109729.00,99.45,99.13,99.31,99.60,99.17,,99.63,99.63,99.59,99.42,99.32,99.59,99.63,99.35,99.33,,99.51,99.41,99.52,99.47,99.18,4129.00,102582.00,138127.00,93.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80,679110.00,67390000.00,145276862.00
