"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL","YYYY_MM"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,1,.75,.54,.75,.54,"2008-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,2,.89,.75,1.02,.98,"2008-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,3,.90,.77,.92,.80,"2008-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,4,.97,.79,1.20,.84,"2008-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,5,.99,.94,1.08,1.49,"2008-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,6,1.03,.94,1.18,.97,"2008-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,7,1.07,.98,1.35,1.19,"2008-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,8,1.09,.97,1.20,.91,"2008-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,9,1.09,.97,1.15,1.02,"2008-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,10,1.09,.98,1.02,.99,"2008-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,11,1.07,.96,.89,.80,"2008-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,12,1.07,.95,1.06,.83,"2008-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,1,.61,.58,.61,.58,"2009-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,2,.74,.57,.87,.56,"2009-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,3,.75,.68,.76,.86,"2009-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,4,.80,.74,.94,.93,"2009-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,5,.84,.76,1.02,.81,"2009-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,6,.85,.82,.92,1.12,"2009-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,7,.88,.93,1.07,1.53,"2009-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,8,.90,.95,1.00,1.04,"2009-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,9,.91,.93,1.00,.85,"2009-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,10,.90,.97,.86,1.31,"2009-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,11,.90,.96,.81,.88,"2009-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,12,.90,.96,.92,.93,"2009-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,1,.54,.67,.54,.67,"2010-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,2,.66,.64,.78,.62,"2010-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,3,.71,.77,.81,.97,"2010-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,4,.74,.82,.84,.93,"2010-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,5,.80,.88,1.04,1.07,"2010-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,6,.81,.81,.87,.46,"2010-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,7,.87,.88,1.24,1.26,"2010-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,8,.90,.90,1.08,1.06,"2010-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,9,.90,.91,.94,1.01,"2010-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,10,.92,.93,1.05,1.13,"2010-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,11,.91,.91,.81,.66,"2010-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2010,12,.91,.90,.84,.73,"2010-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,1,.54,.78,.54,.78,"2011-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,2,.60,.73,.66,.59,"2011-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,3,.67,.83,.81,.99,"2011-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,4,.71,.79,.83,.67,"2011-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,5,.77,.78,1.01,.71,"2011-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,6,.77,.75,.77,.63,"2011-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,7,.83,.90,1.21,1.98,"2011-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,8,.84,.98,.92,1.43,"2011-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,9,.85,.95,.87,1.03,"2011-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,10,.87,.95,1.05,.86,"2011-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,11,.85,.91,.71,.51,"2011-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2011,12,.85,.88,.76,.54,"2011-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,1,.65,.85,.65,.85,"2012-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,2,.59,.69,.54,.51,"2012-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,3,.69,.80,.88,.99,"2012-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,4,.72,.85,.81,1.00,"2012-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,5,.73,.86,.79,.86,"2012-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,6,.72,.93,.69,1.26,"2012-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,7,.80,.92,1.29,.84,"2012-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,8,.84,.96,1.07,1.20,"2012-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,9,.84,.93,.89,.71,"2012-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,10,.86,.94,1.03,1.08,"2012-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,11,.84,.91,.62,.42,"2012-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2012,12,.84,.89,.67,.71,"2012-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,1,.84,.96,.84,.96,"2013-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,2,.84,.96,.84,.95,"2013-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,3,.84,.84,.84,.71,"2013-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,4,.84,.75,.84,.41,"2013-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,5,.84,.82,.84,1.10,"2013-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,6,.84,.98,.84,1.70,"2013-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,7,.84,.97,.84,.91,"2013-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,8,.84,.98,.84,.99,"2013-08"
